语言哲学, 0.048894
组合数学, 0.048730
textbook, 0.048425
抽象代数, 0.048008
TOEFL, 0.047511
软件开发, 0.047489
Programming, 0.047384
几何, 0.047131
programming, 0.046828
图形学, 0.046803
html5, 0.046441
HTML5, 0.046054
AI, 0.045989
程序员的思维修炼, 0.045764
复杂网络, 0.045714
科学家, 0.045675
汉字, 0.045622
大学课本, 0.045580
j2ee, 0.045285
数据挖掘, 0.044724
excel, 0.044552
Statistics, 0.044499
Mathematics, 0.044304
汉语, 0.044071
c++, 0.043946
dictionary, 0.043438
本科教材, 0.043066
计算机图形学, 0.042837
ebook, 0.042735
代数, 0.042697
编程, 0.042158
陈鬼之书, 0.042130
R, 0.042056
design, 0.041627
计算机, 0.041522
演化, 0.041309
Math, 0.041249
分布式, 0.040818
编程语言, 0.040509
考试, 0.040076
新东方, 0.039737
R语言, 0.039419
SAS, 0.039377
股市, 0.039282
计算机科学, 0.039199
体系结构, 0.038739
软件, 0.038359
2010, 0.038225
shell, 0.038166
优化, 0.038114
计算机技术, 0.038046
英语专业, 0.037887
语, 0.037736
音韻學, 0.037354
字体, 0.036584
math, 0.036269
用户体验, 0.036124
TCP/IP, 0.035979
线性代数, 0.035562
基础理论, 0.035494
程序设计, 0.035460
现代汉语, 0.035276
Windows, 0.035148
Linguistics, 0.034944
网页, 0.034816
web, 0.034536
statistics, 0.034265
金融工程, 0.034087
专业, 0.034068
视觉, 0.033976
开发, 0.033919
Google, 0.033696
数据, 0.033628
NLP, 0.033545
物理学, 0.033317
专业课, 0.033218
网络, 0.033031
人工智能, 0.032392
C/C++, 0.032097
美國, 0.031906
概率统计, 0.031817
ajax, 0.031817
經濟學, 0.031529
Java, 0.031344
Ruby, 0.031323
英语原版, 0.030960
云计算, 0.030723
Evolution, 0.030612
语法, 0.030584
心灵哲学, 0.030575
微软, 0.030324
德语学习, 0.030214
quant, 0.030134
技术, 0.030009
UML, 0.029463
社会语言学, 0.029340
趣味, 0.029224
小学, 0.029211
计算语言学和语料库, 0.029197
逻辑, 0.029053
编译原理, 0.028957
趋势, 0.028847
ruby, 0.028538
教科书, 0.028316
外语学习, 0.028252
计算机视觉, 0.027969
字体设计, 0.027807
我有的书, 0.027586
图像处理, 0.027455
宏观经济学, 0.027343
语言学, 0.027309
混沌, 0.027199
理工, 0.026810
敏捷, 0.026474
德语, 0.026465
古代汉语, 0.026241
分析哲学, 0.026048
知识管理, 0.025995
音系学, 0.025532
大数据, 0.025397
统计, 0.025273
类型学, 0.025267
Perl, 0.025261
词汇, 0.025232
教育技术, 0.025228
C++, 0.024622
agile, 0.024420
资料, 0.024296
日语学习, 0.024265
文字学, 0.024063
财务自由, 0.024015
藝術, 0.023787
软件测试, 0.023682
高中, 0.023617
经典教材, 0.023478
技术分析, 0.023260
语音研究, 0.023156
C#, 0.022804
前端开发, 0.022596
计算机系统, 0.022578
交互设计, 0.022553
插画, 0.022470
计算机类, 0.022422
逻辑学, 0.022356
近世代数, 0.022263
微积分, 0.022147
敏捷开发, 0.022130
GRE, 0.022074
图鉴, 0.022005
javascript, 0.021953
策划, 0.021758
信息检索, 0.021496
教材, 0.021464
网页设计, 0.021446
投资学, 0.021410
服装, 0.021325
方言, 0.020942
音韵学, 0.020919
想读, 0.020776
计算语言学, 0.020733
语音学, 0.020721
数学, 0.020628
认知科学, 0.020530
architecture, 0.020463
数据分析, 0.020358
符号学, 0.020227
价值投资, 0.020099
财经（经济+金融+商业）, 0.019719
英文版, 0.019602
实验语音学, 0.019595
语言, 0.019387
模式, 0.019155
历史语言学, 0.018885
项目管理, 0.018876
English, 0.018857
经典名著, 0.018746
考研, 0.018549
内核, 0.018450
数学史, 0.018401
搜索引擎, 0.018034
建筑设计, 0.017797
马克思主义, 0.017418
语言与社会, 0.017204
财务, 0.017190
西方, 0.016941
.NET, 0.016925
学习, 0.016685
IT, 0.016671
平面设计, 0.016611
O'Reilly, 0.016521
房地产, 0.016515
economics, 0.016398
程序, 0.016379
通信, 0.016192
研究, 0.016121
CS, 0.016085
工具书, 0.016045
词典, 0.015871
Python, 0.015844
投资理财, 0.015660
博弈论, 0.015414
JavaScript, 0.015231
Oracle, 0.015142
linux, 0.015083
游戏开发, 0.014575
学术, 0.014566
iOS, 0.014533
英语, 0.014416
2014, 0.014374
电路, 0.013980
阅读, 0.013872
传播, 0.013721
设计理论, 0.013451
kernel, 0.013363
科技, 0.013342
学术史, 0.013136
Design, 0.013102
拓扑学, 0.012974
OpenGL, 0.012972
汇编, 0.012606
系统科学, 0.012458
UX, 0.012155
统计学, 0.011631
高等数学, 0.011490
设计, 0.011427
入门, 0.011405
中国研究, 0.011284
数据处理, 0.011184
复杂性, 0.011073
日语, 0.010909
python, 0.010896
hadoop, 0.010770
互联网, 0.010676
科学人文, 0.010648
机器学习, 0.010598
已购, 0.010570
计算机体系结构, 0.010557
科学哲学, 0.010368
古代, 0.010333
歷史, 0.010272
UNIX, 0.010148
Probability, 0.009610
交易, 0.009538
神经科学, 0.009492
物理, 0.009352
嵌入式, 0.009138
philosophy, 0.009026
面试, 0.008969
模式识别, 0.008928
投机, 0.008908
Android, 0.008863
理财, 0.008340
Linux, 0.008339
股票, 0.008176
金融学, 0.008160
架构, 0.008041
书法, 0.007923
金融, 0.007916
语音, 0.007909
教程, 0.007816
课本, 0.007791
经典, 0.007785
科普, 0.007687
新概念, 0.007680
英语学习, 0.007669
投资, 0.007645
科学, 0.007558
信息, 0.007430
建筑理论, 0.006814
操作系统, 0.006697
医学, 0.006583
人文, 0.006189
笔记, 0.006175
经济, 0.006135
科研, 0.005760
论文集, 0.005594
自然科学, 0.005530
数据库, 0.005422
经济学, 0.005394
游戏, 0.004997
方法论, 0.004924
百科, 0.004916
工业设计, 0.004896
建筑, 0.004865
管理学, 0.004823
罗兰·巴特, 0.004642
现象学, 0.004623
思维, 0.004074
理论, 0.003934
文集, 0.003886
脑科学, 0.003783
英文, 0.003674
語言學, 0.003375
电子书, 0.003183
程序员, 0.003181
商业, 0.003091
Economics, 0.002951
美学, 0.002947
翻译, 0.002862
城市, 0.002857
经济史, 0.002833
营销, 0.002553
哲学, 0.002396
产品设计, 0.002325
艺术, 0.002289
管理, 0.002247
证券, 0.002193
数学分析, 0.002037
英文原版, 0.002006
文化, 0.001901
时间管理, 0.001814
教育, 0.001745
心理学, 0.001297
画册, 0.001215
国学, 0.001166
思想, 0.001056
德国, 0.000986
童话, 0.000789
传记, 0.000684
旅行, 0.000676
文化研究, 0.000651
历史, 0.000496
美国, 0.000418
社会学, 0.000371
社会, 0.000278
中国, 0.000261
日本, 0.000139
漫画, 0.000119
